date,rain_mm,district,state
2000-05-20,0.0,Cuttack,Odisha
2000-05-21,0.0,Cuttack,Odisha
2000-05-22,7.987761497497559,Cuttack,Odisha
2000-05-23,0.0,Cuttack,Odisha
2000-05-24,0.0,Cuttack,Odisha
2000-05-25,0.0,Cuttack,Odisha
2000-05-26,0.0,Cuttack,Odisha
2000-05-27,0.0,Cuttack,Odisha
2000-05-28,0.0,Cuttack,Odisha
2000-05-29,0.0,Cuttack,Odisha
2000-05-30,0.0,Cuttack,Odisha
2000-05-31,0.0,Cuttack,Odisha
2000-06-01,9.472099304199219,Cuttack,Odisha
2000-06-02,0.0,Cuttack,Odisha
2000-06-03,0.0,Cuttack,Odisha
2000-06-04,1.5534958839416504,Cuttack,Odisha
2000-06-05,23.718664169311523,Cuttack,Odisha
2000-06-06,19.30800437927246,Cuttack,Odisha
2000-06-07,4.2232489585876465,Cuttack,Odisha
2000-06-08,6.1212382316589355,Cuttack,Odisha
2000-06-09,0.0,Cuttack,Odisha
2000-06-10,0.45215797424316406,Cuttack,Odisha
2000-06-11,0.5217207670211792,Cuttack,Odisha
2000-06-12,0.0,Cuttack,Odisha
2000-06-13,0.0,Cuttack,Odisha
2000-06-14,14.976259231567383,Cuttack,Odisha
2000-06-15,14.499296188354492,Cuttack,Odisha
2000-06-16,15.44821834564209,Cuttack,Odisha
2000-06-17,15.759099960327148,Cuttack,Odisha
2000-06-18,60.85777282714844,Cuttack,Odisha
2000-06-19,13.324806213378906,Cuttack,Odisha
2000-06-20,15.635436058044434,Cuttack,Odisha
2000-06-21,12.453216552734375,Cuttack,Odisha
2000-06-22,0.0,Cuttack,Odisha
2000-06-23,1.843413233757019,Cuttack,Odisha
2000-06-24,0.0,Cuttack,Odisha
2000-06-25,4.0808258056640625,Cuttack,Odisha
2000-06-26,11.523694038391113,Cuttack,Odisha
2000-06-27,11.98664379119873,Cuttack,Odisha
2000-06-28,0.23187588155269623,Cuttack,Odisha
2000-06-29,7.376051902770996,Cuttack,Odisha
2000-06-30,0.6177459359169006,Cuttack,Odisha
2000-07-01,0.6177459359169006,Cuttack,Odisha
2000-07-02,0.5829645395278931,Cuttack,Odisha
2000-07-03,0.0,Cuttack,Odisha
2000-07-04,0.7072214484214783,Cuttack,Odisha
2000-07-05,0.0,Cuttack,Odisha
2000-07-06,0.0,Cuttack,Odisha
2000-07-07,0.0,Cuttack,Odisha
2000-07-08,0.8463470339775085,Cuttack,Odisha
2000-07-09,0.0,Cuttack,Odisha
2000-07-10,41.74345779418945,Cuttack,Odisha
2000-07-11,18.280399322509766,Cuttack,Odisha
2000-07-12,27.31696319580078,Cuttack,Odisha
2000-07-13,9.79677963256836,Cuttack,Odisha
2000-07-14,0.0,Cuttack,Odisha
2000-07-15,11.910135269165039,Cuttack,Odisha
2000-07-16,35.60895538330078,Cuttack,Odisha
2000-07-17,15.426207542419434,Cuttack,Odisha
2000-07-18,8.950979232788086,Cuttack,Odisha
2000-07-19,6.4396443367004395,Cuttack,Odisha
2000-07-20,2.6355350017547607,Cuttack,Odisha
2000-07-21,0.0,Cuttack,Odisha
2000-07-22,0.0,Cuttack,Odisha
2000-07-23,1.525336742401123,Cuttack,Odisha
2000-07-24,0.0,Cuttack,Odisha
2000-07-25,0.0,Cuttack,Odisha
2000-07-26,2.7972846031188965,Cuttack,Odisha
2000-07-27,10.714582443237305,Cuttack,Odisha
2000-07-28,23.438051223754883,Cuttack,Odisha
2000-07-29,28.341468811035156,Cuttack,Odisha
2000-07-30,28.515541076660156,Cuttack,Odisha
2000-07-31,2.15635085105896,Cuttack,Odisha
2000-08-01,0.0,Cuttack,Odisha
2000-08-02,0.0,Cuttack,Odisha
2000-08-03,0.1275317370891571,Cuttack,Odisha
2000-08-04,0.0,Cuttack,Odisha
2000-08-05,0.680137574672699,Cuttack,Odisha
2000-08-06,3.624824047088623,Cuttack,Odisha
2000-08-07,2.813300609588623,Cuttack,Odisha
2000-08-08,0.9307783246040344,Cuttack,Odisha
2000-08-09,28.264352798461914,Cuttack,Odisha
2000-08-10,27.99040985107422,Cuttack,Odisha
